Name,Symbol,Price (USD),Market Cap (USD),"Volume (24h, USD)",Percent Change 1h,Percent Change 24h,Percent Change 7d,Circulating Supply,Total Supply,Max Supply,Rank,Last Updated
LumiWave,LWA,0.019534456819849052,15043005.938602136,1186387.2499224,0.03425733,-0.18157369,-1.93372543,770075466,770075466,770075466.0,903,2025-06-28T06:15:00.000Z
Bluzelle,BLZ,0.03221800735369007,15034652.683898319,984698.3594658,0.02932889,0.24024209,-4.01400066,466653710.729144,500000000,,904,2025-06-28T06:15:00.000Z
Pepes Dog,ZEUS,3.5837270385318397e-08,15076381.278399596,1311985.03603592,-3.8585183,2.68421368,11.13164914,420690000000000,420690000000000,420690000000000.0,901,2025-06-28T06:15:00.000Z
UNS TOKEN,UNS,0.14205335031350094,15001430.417177016,150.1001315,0.00387073,0.00234679,-5.3131614,105604200,1000000000,,905,2025-06-28T06:15:00.000Z
Metacade,MCADE,0.009268948047208432,14989113.37402833,1447939.70092438,-2.27855187,-3.25273842,-24.23223428,1617132095,1978120584,1978120584.0,906,2025-06-28T06:15:00.000Z
Basenji,BENJI,0.014983775090245123,14983775.090245124,6998886.2365081,0.06259146,-1.4729148,1.70074448,1000000000,1000000000,1000000000.0,907,2025-06-28T06:15:00.000Z
pippin,PIPPIN,0.014952544048202572,14952488.021020023,6565035.56373062,0.33219362,-0.24656405,0.54662208,999996253,999996253,,908,2025-06-28T06:15:00.000Z
Contentos,COS,0.0028843652785706126,14930797.953677801,2455870.65505359,-0.49371303,-2.13873146,-1.36814795,5176458774,9900474904,,909,2025-06-28T06:15:00.000Z
Aki Network,AKI,0.007417210008037329,14834420.016074657,408575.44565806,-0.06638709,-0.51078349,-1.88548393,2000000000,2000000000,2000000000.0,910,2025-06-28T06:15:00.000Z
Comtech Gold,CGO,105.1204144920004,14821978.443372058,1587705.24822745,0.0955774,-0.91900097,-2.58246717,141000,141000,141000.0,911,2025-06-28T06:15:00.000Z
Oobit,OBT,0.01481168604274251,14811686.04274251,104805.67527827,2.26574946,6.21984493,10.3757664,1000000000,1000000000,1000000000.0,912,2025-06-28T06:15:00.000Z
Telos,TLOS,0.03363939906247932,14690280.589191312,2649576.65286575,-0.12568012,-5.95233482,-16.07766825,436698662.836,466646430.1288,,913,2025-06-28T06:15:00.000Z
Free Palestine,YAFA,0.015044255371605881,14592915.389212554,15730.79640581,0.7063427,3.47491221,-1.41055795,969999181,999999181,,915,2025-06-28T06:15:00.000Z
Step Finance,STEP,0.06625150178585557,14668638.688284876,80841.99784177,0.04018753,-6.20173831,-2.01235361,221408395.17416906,609605924.5748687,,914,2025-06-28T06:15:00.000Z
Port3 Network,PORT3,0.04135400651360244,14637378.110534607,3710475.13952958,-0.72561387,-0.57904702,-2.7198805,353953083.2573618,999922223.8473523,1000000000.0,916,2025-06-28T06:15:00.000Z
Cult DAO,CULT,3.3897569851750473e-06,14639312.0719468,114903.78449486,0.01443497,-1.0874094,-2.71746821,4318690730920,4957113505372,6666666666666.0,917,2025-06-28T06:15:00.000Z
Equilibria Finance,EQB,0.43219787059315995,14625082.54516304,102.86026383,0.00372465,-2.27193938,11.49829604,33838858.403192,100000000,100000000.0,918,2025-06-28T06:15:00.000Z
My Lovely Planet,MLC,0.21218818306670542,14578127.788753612,347538.04280474,-0.02385942,-1.9225983,-17.0385712,68703768.41,229999998,229999998.0,919,2025-06-28T06:15:00.000Z
AMO Coin,AMO,0.0006867618492753954,14559351.204638382,727768.61334847,0.47413123,1.34702242,6.3041328,21200000000,21200000000,21200000000.0,920,2025-06-28T06:15:00.000Z
Obol,OBOL,0.14715094553753966,14526719.270824084,12265802.70908172,1.40813546,3.93030352,17.99637672,98719850,500000000,500000000.0,921,2025-06-28T06:14:00.000Z
Janitor,JANITOR,0.014503067092994084,14503067.092994085,40752054.58493319,1.28832043,-2.83703403,21.55108169,1000000000,1000000000,1000000000.0,922,2025-06-28T06:15:00.000Z
Biswap,BSW,0.02174346512929831,14459200.42251086,86749937.47520018,-0.56500134,-4.81306785,0.17637904,664990623,646991910.5068935,700000000.0,923,2025-06-28T06:15:00.000Z
ROGin AI,ROG,0.21537695251659603,14428074.827593738,67657.32754928,0.15169821,0.06795261,12.50284255,66989873.61,200000000,,924,2025-06-28T06:15:00.000Z
Shadow Token,SHDW,0.08517712930381964,14399676.0092708,256717.07107762,-0.76100211,4.24868105,1.82012482,169055662.32349026,169055662.32349026,,925,2025-06-28T06:15:00.000Z
Perpetual Protocol,PERP,0.21790883310281248,14382453.003243186,5641160.69233379,-0.28222231,-2.03852683,0.83152587,66002156.95,150000000,,926,2025-06-28T06:15:00.000Z
Propchain,PROPC,0.38449037314864243,14370620.152847992,428910.03043663,0.10890197,-4.94166619,-13.06409935,37375760.63391415,63763336.9999994,100000000.0,927,2025-06-28T06:15:00.000Z
Star Atlas DAO,POLIS,0.04902496659604144,14343707.306961795,244925.98072019,0.38240449,2.47606306,0.85625033,292579644.6768,360000000,,929,2025-06-28T06:15:00.000Z
crow with knife,CAW,1.861906047673261e-08,14334095.923066149,145533.7828926,0.17707772,-0.22546611,-4.70096305,769861397731578,777777777777777,777777777777777.0,928,2025-06-28T06:15:00.000Z
REI Network,REI,0.015022789110173983,14271649.654665284,3197318.57742562,-0.3301239,0.30982014,-3.94208377,950000000,1000000000,,930,2025-06-28T06:15:00.000Z
Dragonchain,DRGN,0.03809681355098003,14125256.5687604,125499.10984599,-0.81895694,-3.1775623,-9.30050443,370772651.3625188,433494437,433494437.0,937,2025-06-28T06:15:00.000Z
Quickswap [New],QUICK,0.0189050985927934,14239825.748071678,4400159.34058552,1.37894822,2.32906538,-19.26493023,753226738.1826764,949937799.6682755,,931,2025-06-28T06:15:00.000Z
Vita Inu,VINU,1.5775904909218663e-08,14191962.133703379,4027209.06441495,0.78999232,1.24221649,-5.1508772,899597342616479.2,899597342616479.2,899597342616479.2,932,2025-06-28T06:15:00.000Z
MiraclePlay,MPT,0.016624492713967928,14177714.3479666,557713.72584197,0.18647546,0.5289575,-4.87380874,852820870.5011768,1044426805.1269199,3000000000.0,933,2025-06-28T06:15:00.000Z
U2U Network,U2U,0.009288518155927801,14174368.219395293,1000325.82941029,0.21482093,17.68244521,31.27436178,1526009637,9150000000,10000000000.0,934,2025-06-28T06:14:00.000Z
Boba Network,BOBA,0.08237384122352605,14137347.225345261,5454056.82334333,-0.55479994,-0.09979866,-1.44174712,171624231.86,500000000,500000000.0,935,2025-06-28T06:15:00.000Z
Stella,ALPHA,0.015105271704189448,14123429.043417133,21551761.95802061,-0.58143565,-2.70318415,-23.79396564,935000000,1000000000,1000000000.0,936,2025-06-28T06:15:00.000Z
Mr Mint,MNT,0.040284861894731926,14093886.946190288,126924.42879963,0.44389374,-0.89694184,-1.99143518,349855660,1000000000,1000000000.0,938,2025-06-28T06:15:00.000Z
Rupiah Token,IDRT,6.118970919046395e-05,14081758.686202003,0.0,0.02864463,0.0315452,-0.14947991,230132793120,230132793120,,939,2025-06-28T06:15:00.000Z
Amaterasu Omikami,OMIKAMI,0.014838411090868564,14051619.344408872,238998.68653383,-0.96744581,-1.32675769,-10.62661025,946976011,999476011,1000000000.0,940,2025-06-28T06:15:00.000Z
Self Chain,SLF,0.08360551034162646,13962120.227051618,5103993.65960078,-0.1169806,-0.31912488,-13.27370622,167000000,336000000,,941,2025-06-28T06:15:00.000Z
Artrade,ATR,0.011069938595728683,13949274.516694413,920266.86744048,-0.15290238,-6.22079638,-1.35989126,1260104055.3266227,1263995252.8918135,1265000000.0,942,2025-06-28T06:15:00.000Z
Cointel,COLS,0.034685392822145535,13874157.128858214,1381328.91478288,-0.02048533,1.23839381,3.63637104,400000000,10000000000,10000000000.0,943,2025-06-28T06:15:00.000Z
Brickken,BKN,0.1908140953193825,13802159.553454207,375023.87387304,-0.04932461,-5.47581196,-9.54240699,72333018.84932718,143000000,143000000.0,945,2025-06-28T06:15:00.000Z
Indigo Protocol,INDY,0.8595217706739725,13797747.411188789,4119.92341156,0.21917961,3.62271412,-8.39018051,16052819,35000000,35000000.0,946,2025-06-28T06:15:00.000Z
Blockasset,BLOCK,0.07981061407277805,13792176.593439752,332444.53099465,0.80664627,-1.27168962,27.60054695,172811307.79,316493482.1,320000000.0,948,2025-06-28T06:15:00.000Z
MEET48,IDOL,0.015277762417547898,13786652.805595223,27890113.13005142,0.25469851,-2.97610251,10.66833806,902400000,4800000000,4800000000.0,947,2025-06-28T06:15:00.000Z
Numbers Protocol,NUM,0.017399719432874057,13778205.33909158,987033.25469087,-0.00814126,0.5184745,-3.95939716,791863650,801926634,1000000000.0,949,2025-06-28T06:15:00.000Z
MEVerse,MEV,0.008010616986922289,13831492.054221056,6331494.39928693,1.30996291,-7.33160025,-41.71911443,1726645035.8070574,1999999999.9999914,,944,2025-06-28T06:15:00.000Z
GYEN,GYEN,0.006498860787171963,13639684.456451809,104.97720489,0.00285111,-5.07669782,3.92798955,2098780833,2098780833,,950,2025-06-28T06:15:00.000Z
Paris Saint-Germain Fan Token,PSG,1.4222229671155981,13593378.141793182,3923491.47641614,-0.09553106,0.49220805,-9.81067685,9557839,19890000,,951,2025-06-28T06:15:00.000Z
REVOX,REX,0.006931201903551489,13526512.744666696,1610790.35570506,1.281942,-4.74489278,-5.247506,1951539276,3000000000,3000000000.0,952,2025-06-28T06:15:00.000Z
SyncGPT,SYNC,0.0671782422655276,13435648.45310552,0.0,-0.00175482,0.0009953,0.02201347,200000000,1000000000,1000000000.0,953,2025-06-28T06:15:00.000Z
Hyperpigmentation,HYPER,0.013441770776585073,13396693.778795226,129622.81670486,0.42173897,-6.11756968,1.44473787,996646498.55,996646498.55,997256490.0,954,2025-06-28T06:15:00.000Z
CUDIS,CUDIS,0.05408186499417472,13385261.586058244,6859508.98468587,0.84394042,-7.7465024,-17.78314966,247500000,1000000000,1000000000.0,955,2025-06-28T06:15:00.000Z
OctaSpace,OCTA,0.3573648174438993,13348108.762472449,833749.98037001,0.69576737,11.27246999,12.83114078,37351491,37959514.4540972,48000000.0,957,2025-06-28T06:15:00.000Z
LeverFi,LEVER,0.0003171162618466789,13318644.088223474,10628760.22048996,-0.1021842,-0.39592443,-21.36154318,41999246619.0928,42000000000,55786500000.0,958,2025-06-28T06:15:00.000Z
Masa,MASA,0.01571608398788779,13305026.556414107,2365323.22907241,-0.19713754,-0.4440408,-11.79198231,846586628.4927047,1565779856.283122,,959,2025-06-28T06:15:00.000Z
Corn,CORN,0.025134134496753877,13195420.610795785,43020.06918151,0.08366135,-0.92320815,-10.1376823,525000000,2100000000,2100000000.0,960,2025-06-28T06:15:00.000Z
MilkyWay,MILK,0.05517896747023041,13182255.328638045,27435162.50988768,-0.21370305,-7.51414768,-4.48977409,238900000,1000000000,1200000000.0,961,2025-06-28T06:15:00.000Z
TokenFi,TOKEN,0.013149327454862044,13149587.666903049,3656585.67826062,0.09562945,2.21511371,-1.22940423,1000019789,10000000000,10000000000.0,963,2025-06-28T06:15:00.000Z
BOTIFY,BOTIFY,0.013337663626720089,13336388.330276057,1009293.86426062,1.29309699,5.64747944,20.83892164,999904383.820156,999904383.820156,,956,2025-06-28T06:15:00.000Z
Tokemak,TOKE,0.15835093492045763,13043555.011871595,174053.21748922,-3.74098799,-1.44035065,-16.42209297,82371190.40960254,100000000,100000000.0,965,2025-06-28T06:15:00.000Z
RichQUACK.com,QUACK,2.9709213419478e-10,13097592.32296633,244858.92845573,-0.64500472,-0.41515974,-3.09710239,44085961274152300,46775855335611000,,962,2025-06-28T06:15:00.000Z
Doge Killer,LEASH,123.36651843932495,13127122.634620668,933386.98548616,-3.76410804,-1.1012668,3.56645088,106407.49857164,107534.45224204,,964,2025-06-28T06:15:00.000Z
AstraAI,ASTRA,1.4383329985992455,13025635.042512318,6601.73699129,0.4350914,1.43260541,-0.69852741,9056063.55078945,10000000,10000000.0,966,2025-06-28T06:15:00.000Z
Ellipsis,EPS,0.017982889070562287,13014245.085867168,0.0,0.0,0.06882527,-0.32362223,723701571.7997887,723701571.7997887,1000000000.0,967,2025-06-28T06:14:00.000Z
SuperTrust,SUT,6.4175634406447735,12992307.706171216,2477513.92297826,1.02086031,-0.55990162,3.64934838,2024492.29,188403732,238403732.0,968,2025-06-28T06:14:00.000Z
World of Dypians,WOD,0.06047387699932826,12802039.585285654,7877706.32588473,0.01752485,-3.26496321,-14.52949847,211695367,1000000000,1000000000.0,970,2025-06-28T06:14:00.000Z
LooksRare,LOOKS,0.01279188963999825,12791143.527451217,4324842.95916441,-1.06404985,-3.18290967,20.11015128,999941673,1000000000,1000000000.0,971,2025-06-28T06:15:00.000Z
Boson Protocol,BOSON,0.08781569735307806,12798907.272907177,1248798.58866281,0.52875164,-5.49198555,2.17791033,145747373.8601309,200000000,200000000.0,969,2025-06-28T06:15:00.000Z
Grok,GROK,0.0020157950104426844,12740506.239797816,4446077.69087966,0.08999223,6.58437498,9.61517603,6320338215.838674,6596062215.838674,6900000000.0,972,2025-06-28T06:15:00.000Z
Altura,ALU,0.012746870302978016,12619401.599948237,4041762.71935679,-0.50738365,1.92252037,-0.64023492,990000000,990000000,,973,2025-06-28T06:15:00.000Z
zKML,ZKML,0.13071859267607602,12607973.48229723,0.0,0.0,1.90374061,15.94102798,96451263.92647225,100000000,100000000.0,974,2025-06-28T06:15:00.000Z
TROLL (SOL),TROLL,0.012579630422275605,12566881.72974087,3151610.53917945,2.26297459,-5.72966035,4.6522886,998986560.645521,998986560.645521,1000000000.0,975,2025-06-28T06:15:00.000Z
Pirate Nation,PIRATE,0.04130117259357987,12547779.044637183,917636.9458284,1.49223302,3.45794622,-1.76126782,303811690,985726708,1000000000.0,976,2025-06-28T06:15:00.000Z
ColossusXT,COLX,0.0009845999856291786,12536278.465072572,0.0,0.0,0.0,0.0,12732356945,16154059513.600637,,977,2025-06-28T06:15:00.000Z
TG Casino,TGC,0.1567341278794504,12538730.387063855,97407.12924425,0.7928844,5.78989772,8.40588654,80000000.99983217,80000000.99983217,100000000.0,978,2025-06-28T06:15:00.000Z
Kryll,KRL,0.3130804080622952,12492649.844370488,104974.25115576,-0.09870356,-0.57355037,-0.23347304,39902368.60137464,49417348,49417348.0,979,2025-06-28T06:15:00.000Z
PeiPei (ETH),PEIPEI,2.9608770309216253e-08,12455946.417508615,1023423.03268478,-0.79639724,-6.72454587,-5.02947503,420684354244576,420690000000000,420690000000000.0,980,2025-06-28T06:14:00.000Z
Counterparty,XCP,4.8012568936083655,12441096.046396945,0.0,0.0,0.0,0.93854187,2591216.49228123,2591216.49228123,,981,2025-06-28T06:15:00.000Z
DeLorean,DMC,0.004569919651680008,12377535.97818227,19990400.40302777,1.37358715,16.8376387,-73.34344681,2708480000,12800000000,12800000000.0,982,2025-06-28T06:15:00.000Z
PIBBLE,PIB,0.0005095739447821851,12306466.008343538,160991.45960131,-0.02753997,-1.46383499,4.12767908,24150500892.670006,29696500892.670006,30000000000.0,983,2025-06-28T06:15:00.000Z
GameFi.org,GAFI,1.1225367947644636,12286236.14371485,115459.34050289,0.1915319,0.30973379,8.66991238,10945063.1828,14954970.323,,984,2025-06-28T06:15:00.000Z
Suku,SUKU,0.026315404011381466,12149698.17547984,283091.6752,-1.36388562,-0.02547965,-3.42339527,461695293.38121015,1500000000,,985,2025-06-28T06:15:00.000Z
WeFi,WFI,0.4156780481342621,12130991.57165435,708720.61825335,0.04570545,-0.61476651,-0.75864083,29183623.30198417,1000000000,1000000000.0,986,2025-06-28T06:15:00.000Z
Games for a Living,GFAL,0.003198368505953017,12117907.388654534,112369.54652909,-0.00622365,-0.33164137,-13.05811569,3788777736.555333,10000000000,10000000000.0,987,2025-06-28T06:15:00.000Z
ASD,ASD,0.018303661966960153,12091678.66550676,1297983.20555509,-0.11869043,-0.31352329,-11.19952718,660615274,780615274,,988,2025-06-28T06:15:00.000Z
StormX,STMX,0.0009784690443670368,12085772.47594587,12692410.60269377,4.51657907,-9.96991117,-41.11199642,12351716741.08919,12500000000,12500000000.0,989,2025-06-28T06:15:00.000Z
KiboShib,KIBSHI,1.2083443677045598e-05,12083443.677045597,497265.37801371,5.17960813,11.82526906,-12.91036667,1000000000000,1000000000000,1000000000000.0,990,2025-06-28T06:15:00.000Z
PumpBTC (Governance token),PUMP,0.04233529973350586,12065560.42404917,1229249.82199522,-1.51612811,14.02356268,6.73502296,285000000,1000000000,1000000000.0,992,2025-06-28T06:15:00.000Z
AdEx,ADX,0.08153280070105458,12058701.223685972,3200459.9524938,0.11523288,-0.97132557,1.46216941,147900000,150000000,150000000.0,991,2025-06-28T06:15:00.000Z
Defigram,DFG,1.2018294043355247,12018294.043355247,0.0,-0.00318434,-0.00443297,0.02153685,10000000,1000000000,1000000000.0,993,2025-06-28T06:15:00.000Z
BIDR,BIDR,6.294319886868089e-05,11996082.940842804,0.0,0.0,-1.1805434,-4.83297621,190585848136.99042,277566300089,,994,2025-06-28T06:15:00.000Z
SHPING,SHPING,0.005235160092689125,11971719.412634939,144980.8409415,0.00254947,0.00585765,-1.29028473,2286791464,10000000000,10000000000.0,995,2025-06-28T06:15:00.000Z
Firo,FIRO,0.6846530824601451,11927564.586458914,171328.25625496,-0.20119932,-1.01881458,-5.95503302,17421326.05844689,17421326.05844689,,996,2025-06-28T06:15:00.000Z
Houdini Swap,LOCK,0.12848900840088334,11915556.188545838,10810.75572746,0.43701332,1.61837467,-3.07835668,92735996.15127794,92735996.15127794,100000000.0,997,2025-06-28T06:15:00.000Z
Decimal,DEL,0.0010693561758928281,11892314.19810626,239818.74649585,0.00883285,-0.93300284,-1.46081482,11121003895.804047,11121003895.804047,92075616000.0,998,2025-06-28T06:15:00.000Z
Lion Cat,LCAT,0.02797517110809868,11875460.13538789,95016.63315214,-0.00274784,6.15707199,-17.50304091,424500000,600000000,600000000.0,999,2025-06-28T06:15:00.000Z
Cornucopias,COPI,0.011455209747882587,11827305.866649713,208539.70624744,0.10348308,-1.06922297,-4.21454447,1032482698,3840000000,3840000000.0,1000,2025-06-28T06:15:00.000Z
